ppm,exposure_time_min,replicate,R_demo,G_demo,B_demo,H_demo,S_demo,V_demo,L_demo,a_demo,b_demo,DeltaE_demo
1.0,45,2,79.41,120.95,104.29,77.54,87.58,120.95,120.0,110.0,132.0,28.64
1.0,60,0,76.48,124.65,106.61,78.33,98.54,124.65,123.0,107.0,133.0,25.2
1.0,60,1,81.31,121.87,106.66,78.31,84.87,121.87,121.0,110.0,132.0,27.66
1.0,60,2,81.11,122.23,107.56,78.85,85.77,122.23,122.0,110.0,132.0,26.68
1.0,90,0,76.23,119.83,102.97,77.96,92.79,119.83,119.0,109.0,133.0,29.44
1.0,90,1,74.63,122.38,102.71,77.21,99.51,122.38,121.0,107.0,134.0,27.24
1.0,90,2,78.25,122.36,105.45,78.06,91.93,122.36,122.0,109.0,133.0,26.5
1.0,120,0,79.5,119.08,101.41,76.18,84.75,119.08,119.0,110.0,134.0,29.68
1.0,120,1,77.27,114.31,98.34,76.64,82.64,114.31,115.0,111.0,133.0,33.75
1.0,120,2,73.54,116.38,103.88,80.79,93.88,116.38,116.0,110.0,131.0,32.57
1.0,180,0,73.81,116.11,104.61,81.38,92.9,116.11,116.0,110.0,130.0,32.62
1.0,180,1,75.46,119.46,97.91,74.89,93.92,119.46,118.0,108.0,135.0,30.41
1.0,180,2,75.91,114.4,99.69,78.1,85.78,114.4,114.0,111.0,132.0,34.71
1.0,240,0,78.38,110.6,100.65,80.29,74.29,110.6,112.0,114.0,130.0,37.42
1.0,240,1,76.57,114.0,95.01,74.36,83.72,114.0,114.0,111.0,134.0,34.77
1.0,240,2,76.07,114.19,100.05,78.43,85.12,114.19,115.0,111.0,131.0,33.75
1.0,300,0,75.41,119.47,97.6,74.69,94.04,119.47,118.0,108.0,135.0,30.41
1.0,300,1,72.28,115.2,98.97,78.22,95.02,115.2,115.0,109.0,133.0,33.39
1.0,300,2,79.42,117.17,99.39,75.44,82.15,117.17,117.0,110.0,134.0,31.64
1.0,360,0,79.33,110.2,95.56,75.36,71.45,110.2,112.0,113.0,133.0,37.12
1.0,360,1,72.16,112.6,93.35,75.3,91.59,112.6,112.0,109.0,134.0,36.4
1.0,360,2,76.84,113.1,93.07,73.02,81.75,113.1,113.0,110.0,135.0,35.64
1.0,480,0,71.25,113.32,98.71,79.14,94.66,113.32,113.0,110.0,132.0,35.51
1.0,480,1,80.29,121.12,97.44,72.2,85.96,121.12,121.0,108.0,137.0,27.75
1.0,480,2,71.33,105.98,97.0,81.76,83.38,105.98,106.0,114.0,129.0,43.28
1.1,0,0,89.56,149.75,130.16,79.79,102.5,149.75,146.0,104.0,132.0,2.0
1.1,0,1,91.58,154.2,132.47,79.15,103.56,154.2,151.0,102.0,133.0,3.74
1.1,0,2,91.52,147.89,126.98,78.43,97.19,147.89,145.0,104.0,133.0,3.16
1.1,1,0,87.83,144.93,131.82,82.65,100.46,144.93,142.0,106.0,129.0,7.0
1.1,1,1,89.68,148.04,125.02,77.73,100.52,148.04,145.0,103.0,134.0,3.74
1.1,1,2,85.74,142.19,124.35,80.07,101.25,142.19,140.0,105.0,132.0,8.06
1.1,2,0,94.17,139.34,125.99,80.68,82.66,139.34,139.0,109.0,131.0,10.34
1.1,2,1,85.08,144.6,124.63,79.49,104.97,144.6,141.0,104.0,133.0,7.07
1.1,2,2,87.31,141.68,121.51,78.43,97.85,141.68,139.0,105.0,133.0,9.11
1.1,5,0,86.67,135.09,114.84,77.02,91.4,135.09,134.0,106.0,134.0,14.28
1.1,5,1,81.5,136.98,123.26,82.12,103.27,136.98,135.0,106.0,129.0,13.49
1.1,5,2,85.82,136.1,119.38,79.58,94.22,136.1,135.0,107.0,132.0,13.34
1.1,10,0,87.24,132.71,113.21,76.7,87.38,132.71,131.0,108.0,133.0,17.49
1.1,10,1,86.64,133.34,119.05,80.37,89.32,133.34,132.0,109.0,130.0,16.88
1.1,10,2,83.87,128.38,110.33,77.4,88.42,128.38,128.0,108.0,133.0,20.42
1.1,15,0,87.08,134.63,111.49,74.98,90.06,134.63,133.0,107.0,135.0,15.59
1.1,15,1,80.98,133.84,108.7,75.32,100.72,133.84,131.0,104.0,136.0,17.46
1.1,15,2,79.44,131.38,110.84,77.7,100.82,131.38,129.0,106.0,134.0,19.21
1.1,30,0,80.1,124.58,108.98,79.03,91.05,124.58,124.0,109.0,132.0,24.52
1.1,30,1,84.34,125.35,109.9,78.26,83.42,125.35,125.0,110.0,132.0,23.77
1.1,30,2,73.97,124.93,105.44,78.09,104.02,124.93,123.0,106.0,133.0,25.1
1.1,45,0,75.32,119.95,104.65,79.28,94.88,119.95,119.0,109.0,131.0,29.44
1.1,45,1,81.72,118.61,105.75,79.1,79.29,118.61,119.0,112.0,131.0,30.1
1.1,45,2,77.52,121.6,108.67,80.74,92.43,121.6,121.0,110.0,130.0,27.73
1.1,60,0,79.8,124.87,103.59,75.42,92.04,124.87,123.0,108.0,135.0,25.5
1.1,60,1,76.1,120.19,104.78,79.08,93.54,120.19,120.0,109.0,132.0,28.44
1.1,60,2,78.72,117.61,104.33,79.31,84.33,117.61,118.0,111.0,131.0,30.82
1.1,90,0,77.78,126.04,107.49,78.03,97.63,126.04,125.0,107.0,133.0,23.22
1.1,90,1,74.54,117.63,97.47,75.54,93.41,117.63,117.0,108.0,134.0,31.32
1.1,90,2,75.33,119.43,105.48,80.06,94.17,119.43,119.0,110.0,131.0,29.63
1.1,120,0,74.16,114.89,93.9,74.13,90.4,114.89,114.0,109.0,135.0,34.5
1.1,120,1,75.86,113.66,98.75,77.73,84.81,113.66,114.0,111.0,132.0,34.71
1.1,120,2,73.72,116.57,95.07,74.53,93.74,116.57,115.0,108.0,135.0,33.38
1.1,180,0,70.92,121.0,94.4,73.66,105.54,121.0,118.0,105.0,137.0,30.43
1.1,180,1,72.03,120.12,106.98,81.35,102.09,120.12,119.0,108.0,131.0,29.29
1.1,180,2,71.81,113.51,99.29,79.33,93.68,113.51,113.0,110.0,131.0,35.52
1.1,240,0,79.8,110.11,96.1,75.71,70.19,110.11,112.0,113.0,132.0,37.11
1.1,240,1,76.95,114.37,95.7,74.62,83.44,114.37,114.0,110.0,134.0,34.58
1.1,240,2,74.21,108.94,96.12,78.48,81.29,108.94,109.0,113.0,131.0,40.04
1.1,300,0,73.28,112.59,94.08,75.45,89.04,112.59,112.0,110.0,134.0,36.55
1.1,300,1,75.49,114.93,96.21,75.34,87.51,114.93,114.0,110.0,134.0,34.58
1.1,300,2,75.13,112.05,95.75,76.32,84.02,112.05,113.0,111.0,133.0,35.71
1.1,360,0,71.48,111.9,94.58,76.72,92.11,111.9,111.0,110.0,133.0,37.5
1.1,360,1,79.93,115.67,96.03,73.11,78.81,115.67,116.0,111.0,134.0,32.82
1.1,360,2,71.36,107.62,98.45,81.96,85.92,107.62,108.0,113.0,129.0,41.11
1.1,480,0,73.77,110.94,88.29,71.32,85.44,110.94,110.0,109.0,136.0,38.54
1.1,480,1,75.76,110.86,90.2,71.93,80.74,110.86,111.0,111.0,135.0,37.78
1.1,480,2,71.57,110.29,93.68,76.71,89.54,110.29,110.0,110.0,133.0,38.48
1.2,0,0,91.12,150.69,131.24,79.76,100.8,150.69,147.0,104.0,132.0,1.0
1.2,0,1,92.46,155.41,124.3,74.76,103.3,155.41,151.0,100.0,138.0,7.81
1.2,0,2,91.29,151.53,132.89,80.27,101.37,151.53,148.0,104.0,132.0,0.0
1.2,1,0,87.94,139.3,127.02,82.37,94.02,139.3,138.0,108.0,129.0,11.18
1.2,1,1,94.24,139.97,128.63,82.1,83.32,139.97,139.0,110.0,129.0,11.22
1.2,1,2,88.07,144.39,122.88,78.11,99.46,144.39,142.0,104.0,134.0,6.32
1.2,2,0,86.42,144.91,124.49,79.08,102.93,144.91,142.0,104.0,133.0,6.08
1.2,2,1,92.62,144.54,124.06,77.73,91.6,144.54,142.0,106.0,133.0,6.4
1.2,2,2,92.65,142.33,125.22,79.23,89.0,142.33,141.0,107.0,132.0,7.62
1.2,5,0,83.89,135.45,115.31,77.84,97.06,135.45,133.0,106.0,133.0,15.17
1.2,5,1,87.75,131.72,119.75,81.38,85.12,131.72,131.0,110.0,130.0,18.14
1.2,5,2,84.21,138.77,119.65,79.05,100.25,138.77,136.0,106.0,133.0,12.21
1.2,10,0,88.08,132.72,108.31,73.18,85.77,132.72,131.0,107.0,136.0,17.72
1.2,10,1,82.42,127.02,111.47,79.1,89.54,127.02,127.0,109.0,132.0,21.59
1.2,10,2,87.15,132.44,110.93,75.33,87.2,132.44,131.0,107.0,135.0,17.52
1.2,15,0,78.3,127.85,106.8,76.82,98.82,127.85,126.0,106.0,134.0,22.18
1.2,15,1,79.33,128.69,113.92,80.57,97.8,128.69,127.0,108.0,131.0,21.4
1.2,15,2,83.17,120.88,111.36,81.97,79.55,120.88,121.0,113.0,129.0,28.62
1.2,30,0,79.43,124.34,110.98,80.63,92.11,124.34,124.0,109.0,131.0,24.54
1.2,30,1,73.02,121.32,107.91,81.21,101.52,121.32,120.0,108.0,130.0,28.35
1.2,30,2,74.47,127.53,107.24,78.09,106.1,127.53,125.0,106.0,133.0,23.11
1.2,45,0,80.54,118.75,106.13,79.65,82.04,118.75,119.0,112.0,130.0,30.15
1.2,45,1,81.21,121.16,104.39,76.98,84.08,121.16,121.0,110.0,133.0,27.68
1.2,45,2,78.81,117.87,103.25,78.33,84.5,117.87,118.0,111.0,131.0,30.82
1.2,60,0,76.71,119.79,105.0,79.26,91.7,119.79,119.0,110.0,131.0,29.63
1.2,60,1,73.99,118.27,106.45,81.53,95.46,118.27,118.0,109.0,130.0,30.48
1.2,60,2,74.94,116.17,102.61,79.68,90.51,116.17,116.0,110.0,131.0,32.57
1.2,90,0,78.56,116.18,103.67,79.58,82.57,116.18,117.0,111.0,131.0,31.8
1.2,90,1,78.6,118.67,101.35,76.61,86.11,118.67,118.0,110.0,133.0,30.61
1.2,90,2,83.01,115.53,93.68,69.45,71.78,115.53,116.0,111.0,137.0,33.14
1.2,120,0,80.05,113.06,98.42,76.27,74.44,113.06,114.0,113.0,133.0,35.19
1.2,120,1,79.17,109.62,94.34,74.53,70.84,109.62,111.0,113.0,133.0,38.09
1.2,120,2,70.43,112.05,99.41,80.44,94.7,112.05,112.0,110.0,131.0,36.51
1.2,180,0,75.74,112.91,91.68,72.46,83.96,112.91,112.0,110.0,136.0,36.72
1.2,180,1,67.23,112.25,94.5,77.74,102.26,112.25,112.0,108.0,133.0,36.24
1.2,180,2,75.54,114.19,96.34,75.72,86.31,114.19,114.0,110.0,134.0,34.58
1.2,240,0,75.7,111.16,96.02,76.76,81.33,111.16,112.0,112.0,132.0,36.88
1.2,240,1,71.31,109.93,95.02,77.98,89.59,109.93,109.0,111.0,132.0,39.62
1.2,240,2,75.89,109.29,95.99,77.62,77.94,109.29,110.0,112.0,132.0,38.83
1.2,300,0,72.07,108.9,95.78,78.88,86.24,108.9,109.0,112.0,131.0,39.82
1.2,300,1,66.89,105.36,88.85,76.7,93.12,105.36,105.0,110.0,133.0,43.43
1.2,300,2,65.86,107.22,95.54,81.08,98.35,107.22,107.0,110.0,130.0,41.48
1.2,360,0,71.56,108.87,95.66,78.94,87.38,108.87,109.0,112.0,131.0,39.82
1.2,360,1,76.4,108.07,96.45,78.56,74.72,108.07,109.0,114.0,131.0,40.27
1.2,360,2,72.69,105.76,90.61,75.83,79.73,105.76,106.0,112.0,133.0,42.77
1.2,480,0,67.29,104.1,89.92,78.01,90.19,104.1,104.0,111.0,132.0,44.55
1.2,480,1,74.14,111.93,86.85,69.7,86.1,111.93,111.0,109.0,138.0,37.82
1.2,480,2,72.91,103.65,92.42,78.6,75.63,103.65,105.0,114.0,131.0,44.16
1.3,0,0,91.61,145.51,134.78,83.57,94.46,145.51,144.0,107.0,128.0,6.4
1.3,0,1,90.18,149.4,128.79,79.12,101.07,149.4,146.0,104.0,133.0,2.24
1.3,0,2,90.04,152.28,131.43,79.51,104.23,152.28,149.0,103.0,133.0,1.73
1.3,1,0,89.8,145.14,129.52,81.08,97.22,145.14,143.0,106.0,131.0,5.48
1.3,1,1,87.79,139.62,128.76,83.25,94.67,139.62,138.0,108.0,128.0,11.49
1.3,1,2,87.82,147.4,126.71,79.14,103.07,147.4,144.0,103.0,133.0,4.24
1.3,2,0,86.67,141.27,127.87,82.17,98.56,141.27,139.0,106.0,130.0,9.43
1.3,2,1,93.29,140.44,122.49,78.15,85.6,140.44,139.0,108.0,133.0,9.9
1.3,2,2,90.29,137.69,123.01,80.26,87.78,137.69,136.0,109.0,130.0,13.15
1.3,5,0,84.16,135.0,113.8,77.06,96.04,135.0,133.0,106.0,134.0,15.26
1.3,5,1,79.47,127.84,112.95,80.31,96.49,127.84,126.0,108.0,131.0,22.38
1.3,5,2,82.86,133.18,122.11,82.93,96.35,133.18,132.0,108.0,128.0,16.97
1.3,10,0,85.25,126.15,112.68,79.68,82.67,126.15,126.0,110.0,131.0,22.83
1.3,10,1,80.71,128.18,112.2,79.45,94.44,128.18,127.0,108.0,131.0,21.4
1.3,10,2,83.79,128.02,114.83,80.6,88.1,128.02,128.0,109.0,131.0,20.64
1.3,15,0,77.16,126.11,116.7,83.77,98.98,126.11,126.0,109.0,128.0,22.91
1.3,15,1,81.25,130.39,109.18,76.62,96.1,130.39,129.0,106.0,134.0,19.21
1.3,15,2,82.33,125.92,108.4,77.51,88.28,125.92,125.0,109.0,133.0,23.56
1.3,30,0,75.99,122.47,101.8,76.23,96.77,122.47,121.0,107.0,135.0,27.33
1.3,30,1,80.33,124.43,105.45,76.66,90.38,124.43,124.0,108.0,134.0,24.41
1.3,30,2,77.47,122.54,103.43,76.85,93.78,122.54,121.0,108.0,133.0,27.31
1.3,45,0,79.87,112.91,100.78,78.54,74.63,112.91,114.0,113.0,131.0,35.19
1.3,45,1,71.09,113.92,105.88,83.9,95.88,113.92,114.0,111.0,128.0,34.94
1.3,45,2,79.75,116.25,97.28,73.99,80.07,116.25,116.0,111.0,134.0,32.82
1.3,60,0,67.29,114.87,107.27,84.74,105.61,114.87,114.0,110.0,127.0,34.89
1.3,60,1,77.49,114.82,101.41,78.78,82.9,114.82,115.0,112.0,131.0,33.97
1.3,60,2,71.5,115.61,100.31,79.15,97.28,115.61,115.0,109.0,132.0,33.38
1.3,90,0,74.73,116.26,98.63,76.83,91.09,116.26,116.0,109.0,133.0,32.4
1.3,90,1,77.0,111.82,100.29,79.62,79.42,111.82,112.0,113.0,130.0,37.16
1.3,90,2,79.88,110.98,94.93,74.11,71.46,110.98,112.0,113.0,133.0,37.12
1.3,120,0,78.18,111.53,100.15,79.32,76.25,111.53,112.0,114.0,130.0,37.42
1.3,120,1,72.84,116.47,96.33,75.73,95.51,116.47,115.0,108.0,134.0,33.3
1.3,120,2,74.95,116.79,94.85,73.86,91.37,116.79,116.0,108.0,136.0,32.5
1.3,180,0,70.23,108.32,95.03,79.1,89.66,108.32,109.0,112.0,131.0,39.82
1.3,180,1,68.36,111.57,92.06,76.03,98.77,111.57,111.0,108.0,134.0,37.27
1.3,180,2,76.5,102.48,91.32,76.68,64.65,102.48,104.0,116.0,131.0,45.62
1.3,240,0,67.23,105.51,92.87,79.65,92.53,105.51,105.0,112.0,131.0,43.75
1.3,240,1,71.75,107.23,91.65,76.4,84.38,107.23,108.0,111.0,133.0,40.62
1.3,240,2,72.9,104.97,94.25,79.53,77.91,104.97,105.0,114.0,130.0,44.19
1.3,300,0,73.7,107.89,92.63,76.19,80.81,107.89,108.0,112.0,132.0,40.79
1.3,300,1,72.6,112.84,90.7,73.09,90.93,112.84,112.0,108.0,136.0,36.44
1.3,300,2,70.79,104.47,87.86,74.79,82.21,104.47,105.0,112.0,134.0,43.78
1.3,360,0,67.51,103.06,89.81,78.38,87.94,103.06,104.0,112.0,132.0,44.72
1.3,360,1,72.25,105.88,87.73,73.4,80.99,105.88,106.0,112.0,134.0,42.8
1.3,360,2,73.95,107.94,89.55,73.36,80.3,107.94,108.0,112.0,134.0,40.84
1.3,480,0,68.58,105.82,89.15,76.15,89.74,105.82,105.0,111.0,133.0,43.58
1.3,480,1,66.19,103.97,89.37,77.97,92.65,103.97,103.0,111.0,132.0,45.54
1.3,480,2,67.84,104.74,84.22,72.91,89.84,104.74,104.0,110.0,135.0,44.51
1.4,0,0,96.01,154.74,131.24,77.56,96.79,154.74,151.0,104.0,134.0,3.61
1.4,0,1,93.09,143.77,128.53,80.53,89.89,143.77,142.0,108.0,131.0,7.28
1.4,0,2,91.12,147.78,134.14,82.32,97.78,147.78,145.0,106.0,129.0,4.69
1.4,1,0,94.57,140.01,122.57,78.05,82.76,140.01,139.0,108.0,133.0,9.9
1.4,1,1,89.29,148.38,121.42,75.89,101.55,148.38,145.0,103.0,136.0,5.1
1.4,1,2,89.33,149.01,120.13,75.06,102.13,149.01,146.0,102.0,137.0,5.74
1.4,2,0,82.86,138.18,119.73,79.55,102.08,138.18,136.0,105.0,132.0,12.04
1.4,2,1,89.14,140.18,115.97,75.35,92.83,140.18,138.0,105.0,136.0,10.82
1.4,2,2,88.25,137.72,125.12,81.9,91.59,137.72,136.0,109.0,129.0,13.34
1.4,5,0,81.82,130.98,116.83,80.92,95.71,130.98,129.0,108.0,130.0,19.52
1.4,5,1,85.99,134.24,110.15,74.61,91.65,134.24,133.0,106.0,136.0,15.65
1.4,5,2,85.31,129.79,115.92,80.2,87.38,129.79,129.0,109.0,131.0,19.67
1.4,10,0,76.99,128.91,107.86,77.4,102.7,128.91,126.0,105.0,134.0,22.11
1.4,10,1,77.41,129.71,111.01,78.83,102.81,129.71,128.0,106.0,132.0,20.1
1.4,10,2,79.42,131.93,108.96,76.45,101.49,131.93,129.0,105.0,135.0,19.26
1.4,15,0,79.94,125.28,105.54,76.52,92.29,125.28,124.0,107.0,134.0,24.27
1.4,15,1,81.25,122.87,106.17,77.53,86.37,122.87,122.0,110.0,132.0,26.68
1.4,15,2,83.93,121.35,100.17,72.61,78.63,121.35,121.0,110.0,135.0,27.82
1.4,30,0,82.31,126.96,101.4,72.43,89.68,126.96,125.0,107.0,137.0,23.73
1.4,30,1,71.66,118.38,101.76,78.89,100.63,118.38,117.0,108.0,132.0,31.26
1.4,30,2,76.91,115.97,104.36,80.63,85.9,115.97,116.0,112.0,130.0,33.05
1.4,45,0,77.72,111.93,102.04,80.87,77.94,111.93,112.0,114.0,129.0,37.48
1.4,45,1,82.31,116.93,98.93,73.99,75.51,116.93,117.0,112.0,134.0,32.08
1.4,45,2,75.72,118.26,94.75,73.01,91.72,118.26,117.0,107.0,137.0,31.54
1.4,60,0,75.73,113.26,103.64,81.85,84.49,113.26,114.0,112.0,129.0,35.06
1.4,60,1,74.71,119.43,94.78,73.06,95.47,119.43,118.0,107.0,137.0,30.56
1.4,60,2,77.0,115.39,95.49,74.03,84.83,115.39,115.0,110.0,135.0,33.67
1.4,90,0,74.53,115.35,94.61,74.34,90.25,115.35,115.0,109.0,135.0,33.51
1.4,90,1,68.92,111.66,92.87,76.39,97.61,111.66,111.0,108.0,134.0,37.27
1.4,90,2,72.97,111.47,90.46,73.22,88.08,111.47,111.0,109.0,135.0,37.46
1.4,120,0,68.3,111.31,92.29,76.31,98.53,111.31,111.0,108.0,134.0,37.27
1.4,120,1,65.45,112.22,94.68,78.31,106.27,112.22,111.0,107.0,133.0,37.13
1.4,120,2,71.0,105.91,96.37,81.34,84.05,105.91,106.0,114.0,129.0,43.28
1.4,180,0,73.04,114.49,92.79,73.88,92.33,114.49,114.0,108.0,136.0,34.47
1.4,180,1,73.15,106.84,93.98,78.11,80.41,106.84,107.0,113.0,132.0,41.98
1.4,180,2,73.87,111.1,89.96,72.56,85.46,111.1,111.0,110.0,136.0,37.7
1.4,240,0,69.9,104.19,92.31,79.16,83.93,104.19,105.0,113.0,131.0,43.94
1.4,240,1,75.7,104.25,88.66,73.21,69.84,104.25,106.0,113.0,134.0,43.0
1.4,240,2,72.15,104.89,92.79,78.48,79.6,104.89,105.0,114.0,131.0,44.16
1.4,300,0,63.85,101.85,86.39,77.36,95.13,101.85,101.0,111.0,132.0,47.52
1.4,300,1,63.65,101.44,85.99,77.3,95.0,101.44,101.0,111.0,133.0,47.53
1.4,300,2,70.01,107.67,88.0,73.92,89.2,107.67,107.0,110.0,135.0,41.55
1.4,360,0,67.04,103.12,90.92,79.41,89.22,103.12,104.0,112.0,131.0,44.73
1.4,360,1,67.21,100.56,89.45,79.56,84.58,100.56,101.0,113.0,130.0,47.9
1.4,360,2,69.47,105.24,87.73,74.9,86.67,105.24,105.0,111.0,134.0,43.61
1.4,480,0,71.51,98.6,86.26,75.91,70.06,98.6,100.0,115.0,132.0,49.24
1.4,480,1,68.77,98.06,81.61,72.74,76.15,98.06,99.0,113.0,134.0,49.86
1.4,480,2,71.46,100.65,83.23,71.7,73.95,100.65,101.0,113.0,134.0,47.9
1.5,0,0,91.71,154.38,125.16,75.59,103.52,154.38,150.0,101.0,137.0,6.16
1.5,0,1,87.51,148.23,136.38,83.68,104.46,148.23,146.0,105.0,128.0,4.58
1.5,0,2,92.85,153.3,128.58,77.3,100.56,153.3,150.0,102.0,135.0,4.12
1.5,1,0,84.99,144.38,124.79,79.66,104.89,144.38,141.0,104.0,133.0,7.07
1.5,1,1,89.99,142.47,125.45,79.82,93.92,142.47,140.0,106.0,132.0,8.25
1.5,1,2,88.82,145.37,127.03,79.83,99.19,145.37,143.0,105.0,132.0,5.1
1.5,2,0,81.49,131.94,123.59,84.56,97.5,131.94,131.0,109.0,127.0,18.41
1.5,2,1,89.92,135.62,115.0,76.04,85.93,135.62,134.0,108.0,134.0,14.7
1.5,2,2,86.65,141.47,125.97,81.06,98.82,141.47,139.0,106.0,131.0,9.27
1.5,5,0,84.72,130.62,111.46,77.05,89.61,130.62,129.0,108.0,133.0,19.44
1.5,5,1,83.21,130.84,111.1,77.13,92.84,130.84,129.0,107.0,133.0,19.26
1.5,5,2,89.32,137.09,117.55,77.3,88.86,137.09,136.0,107.0,134.0,12.53
1.5,10,0,77.84,128.7,110.87,79.04,100.77,128.7,127.0,106.0,132.0,21.1
1.5,10,1,81.93,129.89,110.86,77.66,94.15,129.89,128.0,107.0,133.0,20.25
1.5,10,2,82.82,128.05,109.97,77.58,90.06,128.05,127.0,108.0,133.0,21.4
1.5,15,0,73.76,123.13,104.26,78.1,102.24,123.13,122.0,107.0,133.0,26.19
1.5,15,1,75.27,127.93,111.12,79.98,104.96,127.93,126.0,107.0,131.0,22.23
1.5,15,2,83.19,123.65,109.98,79.42,83.44,123.65,124.0,111.0,131.0,25.02
1.5,30,0,76.68,118.1,97.66,74.78,89.44,118.1,118.0,108.0,135.0,30.41
1.5,30,1,77.83,117.68,97.03,74.04,86.34,117.68,117.0,109.0,135.0,31.54
1.5,30,2,76.49,117.26,106.33,81.5,88.66,117.26,117.0,111.0,130.0,31.84
1.5,45,0,77.95,114.52,98.9,76.75,81.44,114.52,115.0,111.0,133.0,33.75
1.5,45,1,75.4,113.88,94.9,74.79,86.17,113.88,113.0,110.0,134.0,35.57
1.5,45,2,74.81,112.25,94.4,75.28,85.05,112.25,112.0,110.0,134.0,36.55
1.5,60,0,75.85,113.6,90.88,71.54,84.73,113.6,113.0,109.0,137.0,35.71
1.5,60,1,73.95,115.41,99.42,77.99,91.61,115.41,115.0,109.0,132.0,33.38
1.5,60,2,77.4,112.54,93.7,73.51,79.63,112.54,113.0,111.0,135.0,35.82
1.5,90,0,69.79,110.66,94.78,77.91,94.19,110.66,110.0,109.0,132.0,38.33
1.5,90,1,76.9,112.92,93.25,73.2,81.35,112.92,113.0,111.0,135.0,35.82
1.5,90,2,69.3,108.67,94.29,78.61,92.37,108.67,108.0,111.0,131.0,40.62
1.5,120,0,71.55,105.98,92.63,77.93,82.83,105.98,106.0,113.0,131.0,42.97
1.5,120,1,70.65,105.83,92.8,78.45,84.77,105.83,106.0,112.0,131.0,42.77
1.5,120,2,70.95,108.45,92.69,76.96,88.16,108.45,108.0,111.0,133.0,40.62
1.5,180,0,67.56,103.68,93.78,81.33,88.85,103.68,104.0,112.0,130.0,44.77
1.5,180,1,67.49,98.78,83.89,75.3,80.77,98.78,99.0,113.0,133.0,49.83
1.5,180,2,71.06,105.22,89.12,75.44,82.78,105.22,106.0,112.0,133.0,42.77
1.5,240,0,73.81,95.35,89.02,80.74,57.6,95.35,98.0,118.0,129.0,52.01
1.5,240,1,74.85,99.98,86.7,73.73,64.09,99.98,101.0,116.0,132.0,48.51
1.5,240,2,67.91,100.68,86.86,76.92,83.01,100.68,101.0,113.0,132.0,47.85
1.5,300,0,73.84,107.55,85.6,70.07,79.92,107.55,108.0,111.0,137.0,40.91
1.5,300,1,75.27,102.14,91.87,78.09,67.08,102.14,104.0,115.0,131.0,45.37
1.5,300,2,69.28,102.43,87.7,76.25,82.53,102.43,103.0,112.0,133.0,45.72
1.5,360,0,78.61,103.54,83.51,65.53,61.39,103.54,105.0,114.0,136.0,44.33
1.5,360,1,71.98,99.9,84.16,72.68,71.26,99.9,101.0,114.0,133.0,48.06
1.5,360,2,71.8,101.07,86.46,74.61,73.86,101.07,102.0,114.0,133.0,47.09
1.5,480,0,68.37,100.37,85.4,75.54,81.29,100.37,101.0,113.0,133.0,47.86
1.5,480,1,62.52,101.36,81.18,74.0,97.71,101.36,101.0,109.0,135.0,47.36
1.5,480,2,64.01,99.19,84.38,76.94,90.45,99.19,100.0,112.0,133.0,48.67
