ppm,exposure_time_min,replicate,R_demo,G_demo,B_demo,H_demo,S_demo,V_demo,L_demo,a_demo,b_demo,DeltaE_demo,cumulative_exposure_ppm_min
5.0,15,3,60.15,85.3,72.42,149.27,0.2948,0.3345,86.0,116.0,132.0,63.15,75.0
5.0,15,4,61.92,86.75,69.65,138.67,0.2862,0.3402,87.0,115.0,135.0,62.06,75.0
5.0,30,1,55.9,78.81,61.22,133.94,0.2907,0.3091,79.0,115.0,135.0,69.94,150.0
5.0,30,2,55.95,80.41,62.26,135.47,0.3042,0.3153,81.0,114.0,136.0,67.86,150.0
5.0,30,3,57.69,77.28,62.38,134.37,0.2535,0.3031,78.0,116.0,134.0,71.05,150.0
5.0,30,4,54.39,78.72,67.36,151.99,0.3091,0.3087,79.0,116.0,131.0,70.04,150.0
5.0,45,1,58.97,70.93,59.08,120.55,0.1686,0.2781,72.0,120.0,133.0,77.67,225.0
5.0,45,2,56.18,74.31,58.84,128.82,0.244,0.2914,76.0,117.0,135.0,73.23,225.0
5.0,45,3,55.91,73.57,59.94,133.72,0.2401,0.2885,74.0,118.0,134.0,75.34,225.0
5.0,45,4,59.07,74.65,56.69,112.07,0.2406,0.2928,76.0,118.0,137.0,73.52,225.0
5.0,60,1,54.41,76.4,58.83,132.06,0.2878,0.2996,77.0,115.0,136.0,71.96,300.0
5.0,60,2,57.53,73.98,58.23,122.58,0.2225,0.2901,75.0,118.0,135.0,74.39,300.0
5.0,60,3,55.16,70.87,62.3,147.27,0.2216,0.2779,72.0,120.0,131.0,77.67,300.0
5.0,60,4,55.4,72.0,60.22,137.43,0.2307,0.2824,74.0,118.0,133.0,75.32,300.0
5.0,90,1,50.66,72.41,58.25,140.95,0.3004,0.284,72.0,116.0,134.0,76.97,450.0
5.0,90,2,54.71,68.93,56.97,129.52,0.2063,0.2703,70.0,119.0,133.0,79.44,450.0
5.0,90,3,56.15,65.7,58.83,136.82,0.1454,0.2577,68.0,122.0,131.0,82.01,450.0
5.0,90,4,57.5,68.14,57.08,117.76,0.1622,0.2672,70.0,121.0,133.0,79.84,450.0
5.0,120,1,52.54,69.77,53.47,123.26,0.247,0.2736,70.0,118.0,135.0,79.3,600.0
5.0,120,2,51.94,69.33,52.93,123.43,0.2509,0.2719,70.0,117.0,136.0,79.18,600.0
5.0,120,3,50.39,67.66,59.3,150.95,0.2552,0.2653,68.0,119.0,131.0,81.4,600.0
5.0,120,4,55.03,68.28,55.32,121.33,0.1941,0.2678,70.0,119.0,134.0,79.45,600.0
5.0,180,1,51.72,65.53,51.38,118.55,0.216,0.257,66.0,119.0,135.0,83.41,900.0
5.0,180,2,54.34,67.18,52.66,113.03,0.2162,0.2635,69.0,119.0,135.0,80.47,900.0
5.0,180,3,49.28,64.64,53.43,136.22,0.2377,0.2535,65.0,119.0,133.0,84.35,900.0
5.0,180,4,52.89,65.11,56.53,137.84,0.1877,0.2554,67.0,120.0,132.0,82.57,900.0
5.0,240,1,50.35,64.98,53.05,131.05,0.225,0.2548,65.0,120.0,133.0,84.53,1200.0
5.0,240,2,52.6,67.12,52.2,118.41,0.2223,0.2632,68.0,118.0,135.0,81.27,1200.0
5.0,240,3,50.88,62.69,54.11,136.38,0.1884,0.2458,63.0,121.0,131.0,86.69,1200.0
5.0,240,4,47.53,65.19,49.46,126.56,0.271,0.2557,65.0,117.0,135.0,84.07,1200.0
5.0,300,1,54.32,67.49,50.9,107.64,0.2458,0.2647,69.0,119.0,137.0,80.57,1500.0
5.0,300,2,54.59,64.92,54.83,121.41,0.1591,0.2546,66.0,121.0,133.0,83.75,1500.0
5.0,300,3,51.23,63.98,50.4,116.33,0.2122,0.2509,64.0,121.0,134.0,85.73,1500.0
5.0,300,4,53.34,66.73,50.35,109.04,0.2455,0.2617,68.0,119.0,136.0,81.49,1500.0
5.0,360,1,57.57,67.23,52.75,100.05,0.2153,0.2637,69.0,121.0,136.0,80.91,1800.0
5.0,360,2,52.83,61.44,47.32,96.59,0.2298,0.241,63.0,121.0,135.0,86.74,1800.0
5.0,360,3,52.06,61.68,45.72,96.18,0.2587,0.2419,63.0,120.0,136.0,86.59,1800.0
5.0,360,4,52.45,65.96,51.28,115.19,0.2226,0.2587,66.0,120.0,135.0,83.6,1800.0
5.0,480,1,50.47,60.6,48.59,110.62,0.1981,0.2376,61.0,121.0,134.0,88.67,2400.0
5.0,480,2,51.32,62.16,49.06,109.66,0.2107,0.2438,63.0,120.0,134.0,86.52,2400.0
5.0,480,3,49.53,59.89,51.76,132.94,0.1731,0.2349,61.0,122.0,132.0,88.84,2400.0
5.0,480,4,46.99,65.64,46.78,119.33,0.2873,0.2574,65.0,116.0,137.0,84.01,2400.0
5.1,0,1,90.23,146.41,133.31,166.01,0.3837,0.5742,144.0,106.0,129.0,5.39,0.0
5.1,0,2,94.13,149.26,129.74,158.75,0.3694,0.5854,147.0,105.0,133.0,1.73,0.0
5.1,0,3,92.68,149.38,133.48,163.18,0.3795,0.5858,147.0,105.0,131.0,1.73,0.0
5.1,0,4,92.15,148.91,131.28,161.36,0.3811,0.5839,146.0,105.0,131.0,2.45,0.0
5.1,1,1,84.56,125.26,108.51,155.31,0.3249,0.4912,125.0,110.0,133.0,23.79,5.1
5.1,1,2,78.8,125.84,109.53,159.19,0.3739,0.4935,124.0,108.0,132.0,24.33,5.1
5.1,1,3,79.71,124.85,111.12,161.76,0.3616,0.4896,124.0,110.0,130.0,24.82,5.1
5.1,1,4,79.62,126.77,107.94,156.04,0.3719,0.4971,125.0,108.0,133.0,23.37,5.1
5.1,2,1,72.53,117.77,97.73,153.42,0.3842,0.4619,116.0,108.0,134.0,32.31,10.2
5.1,2,2,76.8,118.08,99.62,153.17,0.3496,0.463,118.0,109.0,134.0,30.48,10.2
5.1,2,3,73.9,115.12,99.61,157.42,0.3581,0.4515,115.0,109.0,132.0,33.38,10.2
5.1,2,4,75.38,116.72,100.13,155.91,0.3542,0.4577,116.0,110.0,132.0,32.56,10.2
5.1,5,1,66.92,96.03,86.41,160.17,0.3031,0.3766,97.0,115.0,130.0,52.21,25.5
5.1,5,2,69.04,104.18,80.92,140.28,0.3373,0.4086,104.0,110.0,137.0,44.69,25.5
5.1,5,3,71.43,98.84,84.58,148.78,0.2774,0.3876,100.0,115.0,133.0,49.25,25.5
5.1,5,4,70.46,101.14,84.06,146.61,0.3034,0.3966,102.0,113.0,134.0,46.91,25.5
5.1,10,1,62.91,89.26,77.15,152.42,0.2952,0.35,90.0,115.0,132.0,59.03,51.0
5.1,10,2,63.81,90.21,73.76,142.61,0.2926,0.3537,91.0,114.0,135.0,57.95,51.0
5.1,10,3,62.62,87.89,76.05,151.89,0.2875,0.3447,88.0,116.0,131.0,61.2,51.0
5.1,10,4,63.37,89.91,74.17,144.41,0.2952,0.3526,90.0,115.0,134.0,59.07,51.0
5.1,15,1,61.36,81.89,71.51,149.67,0.2507,0.3211,83.0,118.0,131.0,66.5,76.5
5.1,15,2,61.86,85.81,71.23,143.47,0.2791,0.3365,86.0,115.0,133.0,62.98,76.5
5.1,15,3,57.55,86.0,73.17,152.94,0.3308,0.3373,87.0,114.0,132.0,61.81,76.5
5.1,15,4,64.48,83.91,72.48,144.72,0.2315,0.329,85.0,118.0,132.0,64.54,76.5
5.1,30,1,56.66,77.37,63.6,140.11,0.2677,0.3034,78.0,116.0,134.0,71.05,153.0
5.1,30,2,60.56,81.23,62.56,125.81,0.2545,0.3186,82.0,115.0,137.0,67.1,153.0
5.1,30,3,57.62,79.07,63.53,136.51,0.2712,0.3101,80.0,115.0,135.0,68.95,153.0
5.1,30,4,56.69,78.45,64.32,141.03,0.2774,0.3076,79.0,116.0,134.0,70.06,153.0
5.1,45,1,57.84,76.41,58.52,122.2,0.243,0.2996,77.0,117.0,136.0,72.29,229.5
5.1,45,2,57.81,73.78,62.13,136.23,0.2166,0.2893,75.0,119.0,133.0,74.53,229.5
5.1,45,3,58.21,73.6,56.41,113.71,0.2336,0.2886,75.0,118.0,136.0,74.44,229.5
5.1,45,4,54.78,75.5,60.53,136.64,0.2744,0.2961,76.0,116.0,135.0,73.05,229.5
5.1,60,1,55.23,69.81,56.88,126.8,0.2089,0.2738,71.0,120.0,134.0,78.67,306.0
5.1,60,2,52.52,69.51,57.47,137.5,0.2444,0.2726,70.0,119.0,133.0,79.44,306.0
5.1,60,3,54.27,74.33,59.02,134.22,0.2699,0.2915,75.0,117.0,135.0,74.21,306.0
5.1,60,4,55.51,70.32,59.75,137.18,0.2107,0.2758,72.0,120.0,133.0,77.67,306.0
5.1,90,1,54.72,68.76,57.17,130.47,0.2042,0.2697,70.0,120.0,133.0,79.63,459.0
5.1,90,2,53.17,69.12,58.83,141.31,0.2308,0.2711,70.0,120.0,132.0,79.62,459.0
5.1,90,3,52.95,69.06,60.24,147.15,0.2333,0.2708,70.0,119.0,131.0,79.44,459.0
5.1,90,4,56.1,69.88,54.35,113.24,0.2223,0.274,71.0,120.0,135.0,78.7,459.0
5.1,120,1,54.65,68.34,50.66,106.44,0.2588,0.268,69.0,118.0,137.0,80.39,612.0
5.1,120,2,50.47,68.31,53.39,129.82,0.2612,0.2679,69.0,117.0,135.0,80.12,612.0
5.1,120,3,53.5,65.78,55.32,128.9,0.1867,0.2579,67.0,121.0,132.0,82.76,612.0
5.1,120,4,51.46,67.73,54.13,129.87,0.2402,0.2656,68.0,118.0,134.0,81.24,612.0
5.1,180,1,55.44,65.29,52.95,107.9,0.189,0.256,67.0,121.0,135.0,82.82,918.0
5.1,180,2,55.3,65.91,52.25,106.62,0.2073,0.2585,67.0,121.0,135.0,82.82,918.0
5.1,180,3,51.12,66.08,48.14,110.03,0.2715,0.2591,67.0,118.0,137.0,82.35,918.0
5.1,180,4,54.62,67.41,52.22,110.53,0.2254,0.2644,69.0,119.0,135.0,80.47,918.0
5.1,240,1,51.31,65.04,50.94,118.44,0.2168,0.2551,66.0,119.0,135.0,83.41,1224.0
5.1,240,2,50.65,65.58,52.28,126.52,0.2276,0.2572,66.0,119.0,134.0,83.38,1224.0
5.1,240,3,48.02,65.73,48.65,122.14,0.2695,0.2578,65.0,117.0,136.0,84.11,1224.0
5.1,240,4,49.86,64.25,52.99,133.05,0.224,0.252,65.0,119.0,133.0,84.35,1224.0
5.1,300,1,52.41,62.5,49.26,105.72,0.2119,0.2451,64.0,120.0,135.0,85.56,1530.0
5.1,300,2,50.56,62.24,52.78,131.43,0.1877,0.2441,63.0,120.0,133.0,86.5,1530.0
5.1,300,3,51.17,61.78,50.58,116.83,0.1814,0.2423,63.0,122.0,134.0,86.91,1530.0
5.1,300,4,50.9,65.68,51.24,121.39,0.225,0.2576,66.0,119.0,135.0,83.41,1530.0
5.1,360,1,48.52,64.13,50.55,127.8,0.2434,0.2515,65.0,118.0,135.0,84.23,1836.0
5.1,360,2,50.48,61.75,49.44,114.93,0.1994,0.2422,62.0,121.0,134.0,87.69,1836.0
5.1,360,3,51.67,61.22,51.33,117.93,0.1615,0.2401,63.0,122.0,133.0,86.89,1836.0
5.1,360,4,49.46,63.02,52.32,132.68,0.2152,0.2471,64.0,120.0,133.0,85.52,1836.0
5.1,480,1,51.76,65.31,50.74,115.79,0.2231,0.2561,66.0,119.0,135.0,83.41,2448.0
5.1,480,2,53.42,63.89,49.9,104.91,0.2189,0.2505,65.0,121.0,135.0,84.78,2448.0
5.1,480,3,53.49,62.49,48.78,99.37,0.2195,0.2451,64.0,121.0,136.0,85.8,2448.0
5.1,480,4,54.56,62.83,49.94,98.46,0.2052,0.2464,64.0,121.0,135.0,85.76,2448.0
5.2,0,1,91.02,151.02,132.21,161.19,0.3973,0.5922,148.0,104.0,132.0,0.0,0.0
5.2,0,2,95.34,152.24,132.15,158.81,0.3738,0.597,149.0,105.0,133.0,1.73,0.0
5.2,0,3,93.23,149.13,129.78,159.23,0.3748,0.5848,147.0,105.0,133.0,1.73,0.0
5.2,0,4,90.99,154.21,133.35,160.2,0.41,0.6048,150.0,102.0,133.0,3.0,0.0
5.2,1,1,81.97,127.72,110.74,157.73,0.3582,0.5008,126.0,108.0,132.0,22.36,5.2
5.2,1,2,85.01,127.0,109.27,154.66,0.3306,0.498,127.0,109.0,133.0,21.61,5.2
5.2,1,3,79.53,126.87,106.82,154.59,0.3731,0.4975,125.0,107.0,134.0,23.28,5.2
5.2,1,4,81.55,124.85,110.41,159.99,0.3469,0.4896,124.0,110.0,131.0,24.76,5.2
5.2,2,1,78.69,115.2,97.93,151.62,0.3169,0.4518,116.0,110.0,134.0,32.62,10.4
5.2,2,2,72.28,112.62,96.83,156.52,0.3582,0.4416,112.0,110.0,132.0,36.5,10.4
5.2,2,3,74.24,114.13,95.56,152.07,0.3495,0.4476,114.0,109.0,134.0,34.42,10.4
5.2,2,4,76.61,114.66,99.36,155.87,0.3319,0.4496,115.0,111.0,132.0,33.73,10.4
5.2,5,1,63.69,100.99,83.32,151.58,0.3694,0.3961,100.0,111.0,134.0,48.55,26.0
5.2,5,2,64.97,99.16,86.54,157.85,0.3448,0.3889,100.0,112.0,131.0,48.67,26.0
5.2,5,3,68.35,96.72,84.51,154.17,0.2933,0.3793,98.0,115.0,132.0,51.2,26.0
5.2,5,4,68.51,102.36,82.61,145.0,0.3307,0.4014,102.0,111.0,135.0,46.63,26.0
5.2,10,1,63.65,86.63,75.97,152.17,0.2652,0.3397,88.0,117.0,132.0,61.39,52.0
5.2,10,2,65.49,91.04,74.63,141.46,0.2806,0.357,92.0,115.0,135.0,57.15,52.0
5.2,10,3,67.38,91.53,73.42,135.01,0.2639,0.3589,93.0,115.0,136.0,56.23,52.0
5.2,10,4,62.6,89.45,74.23,145.99,0.3001,0.3508,90.0,114.0,134.0,58.89,52.0
5.2,15,1,63.53,83.34,70.71,141.75,0.2377,0.3268,85.0,118.0,133.0,64.54,78.0
5.2,15,2,61.82,83.02,70.99,145.97,0.2554,0.3256,85.0,116.0,133.0,64.14,78.0
5.2,15,3,61.77,84.05,68.93,139.28,0.2651,0.3296,85.0,116.0,135.0,64.2,78.0
5.2,15,4,60.84,84.79,71.75,147.32,0.2824,0.3325,85.0,116.0,133.0,64.14,78.0
5.2,30,1,57.54,77.84,63.94,138.9,0.2608,0.3053,78.0,117.0,134.0,71.22,156.0
5.2,30,2,57.24,79.07,60.51,128.98,0.2761,0.3101,80.0,115.0,137.0,69.07,156.0
5.2,30,3,59.69,76.6,60.85,124.09,0.2207,0.3004,78.0,117.0,135.0,71.26,156.0
5.2,30,4,54.94,74.35,62.05,141.99,0.2611,0.2916,75.0,117.0,133.0,74.16,156.0
5.2,45,1,60.98,71.03,64.24,139.44,0.1414,0.2785,74.0,122.0,131.0,76.16,234.0
5.2,45,2,53.23,72.92,58.5,136.06,0.27,0.286,73.0,117.0,134.0,76.14,234.0
5.2,45,3,58.3,76.22,58.4,120.35,0.2352,0.2989,77.0,117.0,136.0,72.29,234.0
5.2,45,4,57.85,71.04,59.12,125.77,0.1858,0.2786,73.0,119.0,133.0,76.49,234.0
5.2,60,1,50.64,70.19,54.51,131.9,0.2785,0.2752,71.0,116.0,135.0,77.99,312.0
5.2,60,2,55.99,72.18,56.32,121.23,0.2243,0.2831,73.0,118.0,135.0,76.35,312.0
5.2,60,3,54.43,69.37,57.25,131.34,0.2154,0.272,70.0,120.0,133.0,79.63,312.0
5.2,60,4,56.23,69.86,58.01,127.8,0.195,0.274,71.0,120.0,133.0,78.65,312.0
5.2,90,1,53.92,67.98,55.43,126.42,0.2068,0.2666,69.0,120.0,133.0,80.61,468.0
5.2,90,2,54.13,71.52,55.65,125.25,0.2432,0.2805,72.0,117.0,135.0,77.16,468.0
5.2,90,3,53.72,69.18,56.23,129.71,0.2234,0.2713,70.0,119.0,134.0,79.45,468.0
5.2,90,4,52.4,66.09,55.3,132.72,0.2072,0.2592,68.0,120.0,133.0,81.59,468.0
5.2,120,1,55.98,66.89,56.68,123.83,0.1632,0.2623,68.0,121.0,133.0,81.79,624.0
5.2,120,2,54.14,70.17,55.39,124.67,0.2284,0.2752,71.0,118.0,135.0,78.32,624.0
5.2,120,3,52.28,69.29,51.45,117.2,0.2575,0.2717,70.0,117.0,136.0,79.18,624.0
5.2,120,4,53.39,67.82,51.45,112.88,0.2413,0.266,69.0,119.0,136.0,80.51,624.0
5.2,180,1,52.9,63.07,52.18,116.03,0.1726,0.2473,65.0,121.0,133.0,84.73,936.0
5.2,180,2,50.81,63.09,52.61,128.8,0.1946,0.2474,64.0,120.0,133.0,85.52,936.0
5.2,180,3,55.73,64.35,52.35,103.12,0.1864,0.2524,66.0,122.0,134.0,83.98,936.0
5.2,180,4,52.62,63.31,49.51,106.48,0.218,0.2483,65.0,120.0,135.0,84.58,936.0
5.2,240,1,55.14,63.89,50.85,100.28,0.204,0.2505,65.0,121.0,135.0,84.78,1248.0
5.2,240,2,53.35,61.15,48.42,96.76,0.2083,0.2398,63.0,122.0,135.0,86.94,1248.0
5.2,240,3,50.71,66.26,52.07,125.22,0.2346,0.2598,67.0,118.0,135.0,82.26,1248.0
5.2,240,4,54.69,64.5,48.89,97.71,0.2421,0.253,66.0,120.0,137.0,83.7,1248.0
5.2,300,1,53.78,66.26,48.2,101.45,0.2726,0.2599,67.0,119.0,137.0,82.53,1560.0
5.2,300,2,48.91,64.35,53.01,135.96,0.24,0.2524,65.0,119.0,133.0,84.35,1560.0
5.2,300,3,53.26,65.81,48.35,103.14,0.2654,0.2581,66.0,120.0,137.0,83.7,1560.0
5.2,300,4,55.93,61.53,52.61,97.68,0.145,0.2413,64.0,123.0,133.0,86.13,1560.0
5.2,360,1,53.7,64.29,48.42,100.05,0.2469,0.2521,66.0,120.0,137.0,83.7,1872.0
5.2,360,2,52.67,65.93,46.44,100.82,0.2956,0.2586,66.0,119.0,138.0,83.58,1872.0
5.2,360,3,55.08,62.07,54.55,115.81,0.1211,0.2434,65.0,123.0,132.0,85.15,1872.0
5.2,360,4,52.46,64.44,52.37,119.55,0.1874,0.2527,66.0,120.0,134.0,83.57,1872.0
5.2,480,1,49.43,63.29,46.92,110.79,0.2587,0.2482,64.0,118.0,137.0,85.31,2496.0
5.2,480,2,49.54,61.7,48.5,115.28,0.2139,0.242,62.0,120.0,135.0,87.53,2496.0
5.2,480,3,52.95,60.56,48.2,96.92,0.2041,0.2375,62.0,122.0,134.0,87.89,2496.0
5.2,480,4,53.13,63.4,51.28,110.81,0.1912,0.2486,65.0,121.0,134.0,84.75,2496.0
5.3,0,1,92.39,153.9,134.43,161.01,0.3996,0.6035,150.0,104.0,132.0,2.0,0.0
5.3,0,2,93.26,154.43,135.32,161.26,0.3961,0.6056,151.0,104.0,132.0,3.0,0.0
5.3,0,3,92.32,151.66,131.93,160.06,0.3913,0.5947,148.0,104.0,132.0,0.0,0.0
5.3,0,4,91.28,151.05,133.16,162.04,0.3957,0.5924,148.0,104.0,131.0,1.0,0.0
5.3,1,1,79.25,124.44,105.74,155.18,0.3631,0.488,124.0,108.0,134.0,24.41,5.3
5.3,1,2,77.92,124.65,108.52,159.29,0.3749,0.4888,123.0,108.0,132.0,25.32,5.3
5.3,1,3,83.87,127.06,108.66,154.43,0.3399,0.4983,127.0,108.0,133.0,21.4,5.3
5.3,1,4,77.41,125.77,110.57,161.14,0.3845,0.4932,124.0,108.0,131.0,24.35,5.3
5.3,2,1,75.86,110.67,98.78,159.51,0.3146,0.434,111.0,113.0,131.0,38.09,10.6
5.3,2,2,73.71,112.73,93.88,151.01,0.3461,0.4421,112.0,110.0,134.0,36.55,10.6
5.3,2,3,78.2,116.21,97.18,149.96,0.3271,0.4557,116.0,110.0,134.0,32.62,10.6
5.3,2,4,77.27,111.68,99.89,159.45,0.3081,0.438,112.0,113.0,131.0,37.12,10.6
5.3,5,1,66.6,98.17,82.93,151.04,0.3216,0.385,99.0,113.0,133.0,49.83,26.5
5.3,5,2,70.14,96.56,85.7,155.33,0.2736,0.3787,98.0,115.0,131.0,51.21,26.5
5.3,5,3,69.45,99.86,80.54,141.9,0.3045,0.3916,100.0,113.0,135.0,48.93,26.5
5.3,5,4,71.44,97.45,82.82,146.27,0.2669,0.3822,99.0,115.0,133.0,50.23,26.5
5.3,10,1,62.5,88.88,70.56,138.32,0.2968,0.3486,89.0,114.0,135.0,59.92,53.0
5.3,10,2,64.97,87.21,75.1,147.34,0.2551,0.342,89.0,117.0,132.0,60.42,53.0
5.3,10,3,65.64,88.83,74.27,142.33,0.2611,0.3484,90.0,116.0,133.0,59.24,53.0
5.3,10,4,63.01,87.58,74.54,148.16,0.2805,0.3434,88.0,116.0,133.0,61.2,53.0
5.3,15,1,62.14,87.31,69.92,138.55,0.2882,0.3424,88.0,114.0,135.0,60.9,79.5
5.3,15,2,61.67,84.45,67.5,135.35,0.2698,0.3312,85.0,115.0,135.0,64.02,79.5
5.3,15,3,59.41,82.82,68.71,143.84,0.2827,0.3248,83.0,116.0,133.0,66.11,79.5
5.3,15,4,60.7,81.11,69.67,146.37,0.2516,0.3181,83.0,117.0,132.0,66.29,79.5
5.3,30,1,56.12,77.05,62.11,137.15,0.2716,0.3021,78.0,117.0,134.0,71.22,159.0
5.3,30,2,58.3,76.42,58.85,121.81,0.2371,0.2997,77.0,117.0,136.0,72.29,159.0
5.3,30,3,57.26,73.95,66.74,154.08,0.2257,0.29,75.0,120.0,130.0,74.76,159.0
5.3,30,4,53.98,79.03,57.83,129.23,0.317,0.3099,79.0,113.0,138.0,69.84,159.0
5.3,45,1,60.29,73.73,59.3,115.87,0.1957,0.2891,75.0,120.0,135.0,74.79,238.5
5.3,45,2,54.7,71.98,56.74,127.07,0.24,0.2823,72.0,117.0,135.0,77.16,238.5
5.3,45,3,58.62,71.9,60.28,127.49,0.1847,0.282,73.0,120.0,133.0,76.69,238.5
5.3,45,4,55.98,73.89,61.85,139.67,0.2424,0.2897,75.0,118.0,133.0,74.34,238.5
5.3,60,1,54.77,67.89,56.27,126.88,0.1933,0.2662,69.0,120.0,133.0,80.61,318.0
5.3,60,2,52.38,70.46,58.13,139.09,0.2566,0.2763,71.0,118.0,133.0,78.27,318.0
5.3,60,3,55.4,74.1,60.08,135.0,0.2523,0.2906,75.0,117.0,134.0,74.18,318.0
5.3,60,4,56.7,69.02,58.6,129.25,0.1786,0.2707,71.0,120.0,133.0,78.65,318.0
5.3,90,1,54.55,69.87,56.1,126.04,0.2193,0.274,70.0,119.0,134.0,79.45,477.0
5.3,90,2,58.47,69.87,57.19,113.94,0.1815,0.274,71.0,121.0,134.0,78.88,477.0
5.3,90,3,57.69,64.64,54.43,100.84,0.1579,0.2535,67.0,123.0,133.0,83.2,477.0
5.3,90,4,51.89,66.58,54.52,130.75,0.2207,0.2611,67.0,120.0,133.0,82.57,477.0
5.3,120,1,54.79,68.93,54.98,120.84,0.2052,0.2703,70.0,119.0,135.0,79.49,636.0
5.3,120,2,58.03,64.66,52.9,93.84,0.1819,0.2536,67.0,123.0,135.0,83.25,636.0
5.3,120,3,53.9,64.87,52.47,113.07,0.1912,0.2544,66.0,120.0,134.0,83.57,636.0
5.3,120,4,57.05,65.64,53.29,101.74,0.1881,0.2574,68.0,122.0,134.0,82.02,636.0
5.3,180,1,50.16,62.87,50.69,122.5,0.2021,0.2465,63.0,120.0,134.0,86.52,954.0
5.3,180,2,48.44,65.06,55.95,147.12,0.2556,0.2552,66.0,118.0,132.0,83.19,954.0
5.3,180,3,51.8,62.89,52.52,123.88,0.1763,0.2466,64.0,121.0,133.0,85.71,954.0
5.3,180,4,50.24,62.05,48.78,113.43,0.2138,0.2433,63.0,120.0,135.0,86.54,954.0
5.3,240,1,52.3,65.72,50.74,113.77,0.2279,0.2577,66.0,119.0,135.0,83.41,1272.0
5.3,240,2,49.24,62.25,50.73,126.87,0.2089,0.2441,63.0,120.0,133.0,86.5,1272.0
5.3,240,3,54.99,66.0,53.8,114.14,0.185,0.2588,68.0,120.0,134.0,81.61,1272.0
5.3,240,4,54.13,62.68,52.56,110.66,0.1615,0.2458,64.0,123.0,133.0,86.13,1272.0
5.3,300,1,52.69,63.59,48.54,103.46,0.2366,0.2494,64.0,121.0,136.0,85.8,1590.0
5.3,300,2,53.73,65.47,52.63,114.84,0.1962,0.2567,67.0,120.0,135.0,82.62,1590.0
5.3,300,3,54.65,57.99,49.67,84.12,0.1435,0.2274,60.0,125.0,133.0,90.48,1590.0
5.3,300,4,52.0,62.48,50.51,112.54,0.1916,0.245,63.0,121.0,134.0,86.71,1590.0
5.3,360,1,53.87,61.99,48.75,96.81,0.2136,0.2431,63.0,122.0,135.0,86.94,1908.0
5.3,360,2,53.94,61.71,51.67,106.43,0.1626,0.242,63.0,123.0,133.0,87.1,1908.0
5.3,360,3,52.83,62.94,47.07,98.24,0.2522,0.2468,63.0,120.0,136.0,86.59,1908.0
5.3,360,4,50.83,64.25,52.32,126.65,0.2088,0.252,65.0,119.0,133.0,84.35,1908.0
5.3,480,1,54.07,61.69,53.13,113.47,0.1388,0.2419,63.0,123.0,132.0,87.1,2544.0
5.3,480,2,51.62,60.48,51.43,118.74,0.1496,0.2372,62.0,122.0,132.0,87.86,2544.0
5.3,480,3,49.22,62.14,51.28,129.55,0.2079,0.2437,63.0,120.0,133.0,86.5,2544.0
